Rnd,Pick,Team,Player,First Year,Age Draft,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,DYAR,YAR,DVOA,VOA,EYds,DPI Pens,DPI Yds,Rec Pts First Season,Rec Pts/G First Season,Rec Pts Second Season,Rec Pts/G Second Season
2,42,DEN,E.Royal,2008,22,15.0,15.0,129.0,91.0,70.5,980.0,10.8,5.0,43.0,93.0,7.6,6.1,65.3,127.0,133.0,-0.2,0.4,1016.0,1.0,6.0,128.0,8.533333333333333,34.5,2.4642857142857144
2,49,PHI,D.Jackson,2008,21,16.0,15.0,120.0,62.0,51.7,912.0,14.7,2.0,43.0,60.0,7.6,3.9,57.0,50.0,52.0,-7.3,-7.1,832.0,1.0,12.0,103.2,6.45,169.6,11.306666666666667
2,51,WAS,M.Kelly,2008,21,5.0,0.0,11.0,3.0,27.3,18.0,6.0,0.0,1.0,7.0,1.6,0.6,3.6,-39.0,-41.0,-60.1,-62.7,9.0,0.0,0.0,1.8,0.36,34.7,2.16875
2,53,PIT,L.Sweed,2008,23,11.0,0.0,10.0,6.0,60.0,64.0,10.7,0.0,3.0,17.0,6.4,0.5,5.8,-24.0,-20.0,-46.2,-41.1,23.0,0.0,0.0,6.4,0.5818181818181819,0.5,0.05555555555555555
3,81,ARI,E.Doucet,2008,22,7.0,0.0,17.0,14.0,82.4,90.0,6.4,0.0,6.0,12.0,5.3,2.0,12.9,11.0,12.0,-4.5,-3.8,131.0,0.0,0.0,9.0,1.2857142857142858,27.4,3.0444444444444443
3,97,CIN,A.Caldwell,2008,23,7.0,4.0,19.0,11.0,57.9,78.0,7.1,0.0,4.0,15.0,4.1,1.6,11.1,-26.0,-35.0,-30.1,-36.3,83.0,0.0,0.0,7.8,1.1142857142857143,61.2,3.825
1,7,OAK,D.Heyward-Bey,2009,22,11.0,11.0,40.0,9.0,22.5,124.0,13.8,1.0,8.0,24.0,3.1,0.8,11.3,-105.0,-126.0,-45.0,-51.4,109.0,1.0,19.0,18.4,1.6727272727272726,42.6,2.8400000000000003
1,10,SFO,M.Crabtree,2009,21,11.0,11.0,86.0,48.0,55.8,625.0,13.0,2.0,28.0,50.0,7.3,4.4,56.8,-45.0,-10.0,-19.6,-14.2,466.0,2.0,72.0,74.5,6.7727272727272725,110.1,6.88125
1,19,PHI,J.Maclin,2009,21,15.0,13.0,91.0,56.0,61.5,773.0,13.8,4.0,31.0,56.0,8.5,3.7,51.5,158.0,150.0,9.4,8.2,817.0,2.0,13.0,101.3,6.753333333333333,156.4,9.775
1,22,MIN,P.Harvin,2009,21,15.0,8.0,91.0,60.0,65.9,790.0,13.2,6.0,43.0,51.0,8.7,4.0,52.7,178.0,189.0,12.0,13.5,849.0,0.0,0.0,115.0,7.666666666666668,116.8,8.342857142857143
1,29,NYG,H.Nicks,2009,21,14.0,6.0,74.0,47.0,63.5,790.0,16.8,6.0,32.0,68.0,10.7,3.4,56.4,180.0,159.0,18.2,14.5,742.0,0.0,0.0,115.0,8.214285714285714,171.2,13.169230769230769
1,30,TEN,K.Britt,2009,20,16.0,6.0,75.0,42.0,56.0,701.0,16.7,3.0,34.0,57.0,9.3,2.6,43.8,143.0,143.0,11.2,11.2,700.0,1.0,20.0,88.1,5.50625,131.5,10.958333333333336
2,36,CLE,B.Robiskie,2009,21,11.0,1.0,20.0,7.0,35.0,106.0,15.1,0.0,6.0,43.0,5.3,0.6,9.6,-35.0,-34.0,-35.3,-34.2,74.0,0.0,0.0,10.6,0.9636363636363636,49.0,3.5
3,82,DET,D.Williams,2009,23,11.0,0.0,13.0,6.0,46.2,52.0,8.7,0.0,2.0,19.0,4.0,0.5,4.7,-19.0,-20.0,-31.3,-31.5,56.0,1.0,27.0,5.2,0.4727272727272727,3.0,0.42857142857142855
3,84,PIT,M.Wallace,2009,23,16.0,4.0,72.0,39.0,54.2,756.0,19.4,6.0,28.0,60.0,10.5,2.4,47.3,235.0,227.0,30.3,28.8,793.0,2.0,56.0,111.6,6.975,185.7,11.60625
3,91,SEA,D.Butler,2009,23,16.0,0.0,42.0,15.0,35.7,175.0,11.7,0.0,9.0,32.0,4.2,0.9,10.9,-88.0,-90.0,-39.1,-39.8,140.0,0.0,0.0,17.5,1.09375,62.5,4.807692307692308
1,22,DEN,D.Thomas,2010,22,10.0,2.0,39.0,22.0,56.4,283.0,12.9,2.0,15.0,31.0,7.3,2.2,28.3,25.0,9.0,-4.4,-9.7,278.0,0.0,0.0,40.3,4.0299999999999985,79.1,7.1909090909090905
1,24,DAL,D.Bryant,2010,21,12.0,2.0,73.0,45.0,61.6,561.0,12.5,6.0,23.0,46.0,7.7,3.8,46.8,105.0,93.0,5.8,3.8,617.0,0.0,0.0,92.1,7.675,146.8,9.786666666666667
2,36,KAN,D.McCluster,2010,21,11.0,7.0,39.0,21.0,53.8,209.0,10.0,1.0,11.0,31.0,5.4,1.9,19.0,-17.0,-17.0,-18.5,-18.5,212.0,0.0,0.0,26.9,2.4454545454545453,38.8,2.425
2,39,TAM,A.Benn,2010,21,15.0,9.0,38.0,25.0,65.8,395.0,15.8,2.0,17.0,64.0,10.4,1.7,26.3,113.0,112.0,23.7,23.3,420.0,1.0,33.0,51.5,3.433333333333333,62.1,4.435714285714286
2,60,SEA,G.Tate,2010,22,11.0,0.0,39.0,21.0,53.8,227.0,10.8,0.0,8.0,52.0,5.8,1.9,20.6,-41.0,-35.0,-26.4,-24.4,184.0,0.0,0.0,22.7,2.0636363636363635,56.2,3.5125
3,77,TEN,D.Williams,2010,22,16.0,1.0,28.0,16.0,57.1,219.0,13.7,0.0,10.0,39.0,7.8,1.0,13.7,18.0,18.0,-3.7,-4.0,195.0,0.0,0.0,21.9,1.36875,89.2,5.946666666666667
